nodeID,lat,long,elev,isindoors,buildingID,floor,roomNumber,nodeTypeID
1,39.782474,-84.062629,0,T,0,0,,1
2,39.78264,-84.06242,0,T,0,0,,1
3,39.783003,-84.061971,0,T,-1,0,,1
4,39.78343,-84.06257,0,T,3,0,,1
5,39.78352,-84.06269,0,T,3,0,,1
6,39.78348,-84.06276,0,T,3,0,,1
7,39.78353,-84.06283,0,T,3,0,,1
8,39.78359,-84.06277,0,T,3,0,,1
9,39.78363,-84.06281,0,T,3,0,,1
10,39.7838,-84.06258,0,T,3,0,,1
11,39.78389,-84.06296,0,T,3,0,,1
12,39.783827,-84.06305,0,T,3,0,,1
13,39.783369,-84.063776,0,T,-1,0,,1
14,39.78302,-84.06338,0,T,1,0,,1
15,39.78287,-84.06321,0,T,1,0,,1
16,39.78267,-84.06298,0,T,1,0,,1
17,39.783111,-84.064636,0,T,4,0,,1
18,39.78321,-84.06452,0,T,4,0,,1
19,39.78315,-84.06442,0,T,4,0,,1
20,39.78304,-84.06456,0,T,4,0,,1
